num_training_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
3,2,2,2,1.0,1.0,0.3,0.8320905663955314
4,2,2,7,0.7987527775000013,1.0,0.65,0.8320239631424167
4,2,2,1,0.7987527775000013,1.0,0.85,0.8320066877538423
4,2,2,5,0.7987527775000013,1.0,0.7,0.831963646034061
3,2,2,1,1.0,1.0,0.55,0.8319384783338906
3,2,2,4,1.0,1.0,0.2,0.8317930951176397
4,2,2,5,0.7987527775000013,1.0,0.55,0.8317774633848218
4,2,2,6,0.7987527775000013,1.0,0.75,0.8317574084949099
3,2,2,4,1.0,1.0,0.15,0.8317560376884602
3,2,2,2,1.0,1.0,0.45,0.8317478815796776
4,2,2,4,0.7987527775000013,1.0,0.65,0.8316046628859419
3,2,2,1,1.0,1.0,0.9,0.8315102053453277
4,2,2,6,0.7987527775000013,1.0,0.6,0.83150651575039
4,2,2,5,0.7987527775000013,1.0,0.65,0.8315033018900194
3,2,2,2,1.0,1.0,0.25,0.831427160192485
4,2,2,6,0.7987527775000013,1.0,0.7,0.8313715426936821
3,2,2,2,1.0,1.0,0.55,0.8313690019106869
4,2,2,4,0.7987527775000013,1.0,0.7,0.8313372613039071
4,2,2,6,0.7987527775000013,1.0,0.9,0.8313048247455842
3,2,2,5,1.0,1.0,0.25,0.8312943802377785
4,2,2,3,0.7987527775000013,1.0,0.9,0.8312352083700377
4,2,2,7,0.7987527775000013,1.0,0.8,0.8311767984864353
3,2,2,1,1.0,1.0,0.8,0.8311295557996262
4,2,2,5,0.7987527775000013,1.0,0.85,0.8310740498601005
4,2,2,7,0.7987527775000013,1.0,0.85,0.8310250458843543
4,2,2,5,0.7987527775000013,1.0,0.75,0.8309619151912208
4,2,2,4,0.7987527775000013,1.0,0.8,0.8308819400177774
3,2,2,3,1.0,1.0,0.55,0.8307937148466473
3,2,2,2,1.0,1.0,0.15,0.8307696770590153
3,2,2,4,1.0,1.0,0.35,0.8307619239046474
3,2,2,1,1.0,1.0,0.2,0.8307383446933996
4,2,2,4,0.7987527775000013,1.0,0.75,0.8307363837783134
3,2,2,1,1.0,1.0,0.7,0.8307034451204905
4,2,2,10,0.7987527775000013,1.0,1.0,0.8307021395207365
3,2,2,1,1.0,1.0,0.25,0.830645950757917
3,2,2,5,1.0,1.0,0.2,0.8305942520548241
4,2,2,5,0.7987527775000013,1.0,0.9,0.8305188700987243
3,2,2,3,1.0,1.0,0.6,0.8304917284873935
